doc_id,symbol,snippet_id,snippet_kind,text,title,published_at,source_domain,article_type,tier_weight,position_in_doc,url,market_cap_category
238d0a43ece365e2a8c28ea6c46af074,AAPL,238d0a43ece365e2a8c28ea6c46af074_paragraph_0,paragraph,"Analysts predict that the company will continue to lose money for the next two years, despite its expanding portfolio of more than 131 enterprise AI applications. Ives believes C3.ai would be an attractive acquisition target for firms such as Apple (AAPL), IBM (IBM), and Oracle (ORCL), all of which are looking to expand their AI infrastructure and enterprise integration capabilities. C3.ai’s struggles have not gone unnoticed on Wall Street.",Wedbush Sees an AI M & A Boom Ahead : 3 Prime Takeover Targets,20251017T051500Z,finance.yahoo.com,semi,0.65,0,https://finance.yahoo.com/news/wedbush-sees-ai-m-boom-175736093.html,large
238d0a43ece365e2a8c28ea6c46af074,AAPL,238d0a43ece365e2a8c28ea6c46af074_sentence_1,sentence,"Ives believes C3.ai would be an attractive acquisition target for firms such as Apple (AAPL), IBM (IBM), and Oracle (ORCL), all of which are looking to expand their AI infrastructure and enterprise integration capabilities.",Wedbush Sees an AI M & A Boom Ahead : 3 Prime Takeover Targets,20251017T051500Z,finance.yahoo.com,semi,0.65,1,https://finance.yahoo.com/news/wedbush-sees-ai-m-boom-175736093.html,large
f2ecbe5a6bda668747d4cdd39226c267,AAPL,f2ecbe5a6bda668747d4cdd39226c267_paragraph_0,paragraph,"In addition, Apple (AAPL) and Amazon.com (AMZN) are up more than +1%, and Meta Platforms (META) is up +0.32%. Oracle (ORCL) is up more than +4% after President Trump hinted at a potential TikTok deal with China. TKO Group Holdings (TKO) is up more than +3% after announcing its board announced it will buy back $1 billion of Class A common shares.",Stocks Garner Support from Lower Bond Yields and Tesla Strength,20250916T223000Z,finance.yahoo.com,semi,0.65,0,https://finance.yahoo.com/news/stocks-garner-support-lower-bond-140539624.html,large
f2ecbe5a6bda668747d4cdd39226c267,AAPL,f2ecbe5a6bda668747d4cdd39226c267_sentence_1,sentence,"In addition, Apple (AAPL) and Amazon.com (AMZN) are up more than +1%, and Meta Platforms (META) is up +0.32%.",Stocks Garner Support from Lower Bond Yields and Tesla Strength,20250916T223000Z,finance.yahoo.com,semi,0.65,1,https://finance.yahoo.com/news/stocks-garner-support-lower-bond-140539624.html,large
f8c677db9b75bb80cfc55b386e48f98b,AAPL,f8c677db9b75bb80cfc55b386e48f98b_paragraph_0,paragraph,"What Makes Alibaba a Prominent AI Play Alibaba is a prominent AI player in China and has partnered with several companies, including BMW (BMWKY) and SAP (SAP). It is also collaborating with Apple (AAPL) to bring “Apple Intelligence” features to iPhones in China. Given China’s strict data policies, any foreign company looking to offer AI services in China might need to partner with domestic Chinese companies, which is an opportunity for Chinese AI giants like Alibaba.",Alibaba Has AI Written All Over It : Here Why Buying BABA Stock Makes Sense,20250913T023000Z,finance.yahoo.com,semi,0.65,0,https://finance.yahoo.com/news/alibaba-ai-written-over-why-203907438.html,large
f8c677db9b75bb80cfc55b386e48f98b,AAPL,f8c677db9b75bb80cfc55b386e48f98b_paragraph_1,paragraph,"The changed stance bodes well for valuations of Chinese companies, which had become “uninvestible” for many funds following the 2021 tech crackdown. Both AI and instant commerce, which Alibaba has termed “2 huge historic opportunities,” would drive the company’s growth over the long term, and I feel comfortable holding my shares at the current price levels even as arguably the stock’s margin of safety in the short term is not as enticing as it was a couple of months back. On the date of publication, Mohit Oberoi had a position in: BABA, AAPL, NVDA.",Alibaba Has AI Written All Over It : Here Why Buying BABA Stock Makes Sense,20250913T023000Z,finance.yahoo.com,semi,0.65,1,https://finance.yahoo.com/news/alibaba-ai-written-over-why-203907438.html,large
f8c677db9b75bb80cfc55b386e48f98b,AAPL,f8c677db9b75bb80cfc55b386e48f98b_sentence_2,sentence,It is also collaborating with Apple (AAPL) to bring “Apple Intelligence” features to iPhones in China.,Alibaba Has AI Written All Over It : Here Why Buying BABA Stock Makes Sense,20250913T023000Z,finance.yahoo.com,semi,0.65,2,https://finance.yahoo.com/news/alibaba-ai-written-over-why-203907438.html,large
f8c677db9b75bb80cfc55b386e48f98b,AAPL,f8c677db9b75bb80cfc55b386e48f98b_sentence_3,sentence,"On the date of publication, Mohit Oberoi had a position in: BABA, AAPL, NVDA.",Alibaba Has AI Written All Over It : Here Why Buying BABA Stock Makes Sense,20250913T023000Z,finance.yahoo.com,semi,0.65,3,https://finance.yahoo.com/news/alibaba-ai-written-over-why-203907438.html,large
0073ac3044cc497c183f71443b4c2e61,AAPL,0073ac3044cc497c183f71443b4c2e61_paragraph_0,paragraph,"(CDNS)… and 4,285% on Apple Inc. (AAPL) during extensive back-tests. However, Apogee is not designed to pick up every single company that does well.","Why My System Didnt Pick Tesla … but Dug Up 1 , 115 % Gains in Amazon",20250908T160000Z,investorplace.com,semi,0.65,0,https://investorplace.com/smartmoney/2025/09/system-didnt-pick-tesla-1115-gains-amazon/,large
0073ac3044cc497c183f71443b4c2e61,AAPL,0073ac3044cc497c183f71443b4c2e61_sentence_1,sentence,"(CDNS)… and 4,285% on Apple Inc.","Why My System Didnt Pick Tesla … but Dug Up 1 , 115 % Gains in Amazon",20250908T160000Z,investorplace.com,semi,0.65,1,https://investorplace.com/smartmoney/2025/09/system-didnt-pick-tesla-1115-gains-amazon/,large
